"","Site","species","sum_cover"
"312","Gudmedalen","Pin_vul",3
"313","Skjellingahaugen","Poa_alp",6
"314","Ulvehaugen","Poa_alp",7
"315","Låvisdalen","Poa_alp",6
"316","Gudmedalen","Poa_alp",3
"317","Skjellingahaugen","Poa_pra",1
"318","Ulvehaugen","Poa_pra",3
"319","Låvisdalen","Poa_pra",3
"320","Gudmedalen","Poa_pra",1
"321","Skjellingahaugen","Pot_cra",1
"322","Ulvehaugen","Pot_cra",5
"323","Låvisdalen","Pot_cra",18
"324","Gudmedalen","Pot_cra",14
"325","Skjellingahaugen","Pot_ere",4
"326","Ulvehaugen","Pot_ere",1
"327","Låvisdalen","Pot_ere",0
"328","Gudmedalen","Pot_ere",56
"329","Skjellingahaugen","Pru_vul",0
"330","Ulvehaugen","Pru_vul",0
"331","Låvisdalen","Pru_vul",0
"332","Gudmedalen","Pru_vul",7
"333","Skjellingahaugen","Pyr_min",0
"334","Ulvehaugen","Pyr_min",0
"335","Låvisdalen","Pyr_min",0
"336","Gudmedalen","Pyr_min",1
"337","Skjellingahaugen","Pyr_sp",6
"338","Ulvehaugen","Pyr_sp",6
"339","Låvisdalen","Pyr_sp",7
"340","Gudmedalen","Pyr_sp",11
"341","Skjellingahaugen","Pyr_sp_IKKE_rotundifolia",0
"342","Ulvehaugen","Pyr_sp_IKKE_rotundifolia",0
"343","Låvisdalen","Pyr_sp_IKKE_rotundifolia",0
"344","Gudmedalen","Pyr_sp_IKKE_rotundifolia",3
"345","Skjellingahaugen","Ran_acr",10
"346","Ulvehaugen","Ran_acr",39
"347","Låvisdalen","Ran_acr",4
"348","Gudmedalen","Ran_acr",11
"349","Skjellingahaugen","Ran_acr_cf",0
"350","Ulvehaugen","Ran_acr_cf",0
"351","Låvisdalen","Ran_acr_cf",1
"352","Gudmedalen","Ran_acr_cf",0
"353","Skjellingahaugen","Ranunculus",0
"354","Ulvehaugen","Ranunculus",0
"355","Låvisdalen","Ranunculus",1
"356","Gudmedalen","Ranunculus",0
"357","Skjellingahaugen","Rhi_min",0
"358","Ulvehaugen","Rhi_min",0
"359","Låvisdalen","Rhi_min",0
"360","Gudmedalen","Rhi_min",6
"361","Skjellingahaugen","Rum_ace",3
"362","Ulvehaugen","Rum_ace",11
"363","Låvisdalen","Rum_ace",38
"364","Gudmedalen","Rum_ace",5
"365","Skjellingahaugen","Rum_acl",0
"366","Ulvehaugen","Rum_acl",3
"367","Låvisdalen","Rum_acl",0
"368","Gudmedalen","Rum_acl",0
"369","Skjellingahaugen","Sag_sag",3
"370","Ulvehaugen","Sag_sag",10
"371","Låvisdalen","Sag_sag",1
"372","Gudmedalen","Sag_sag",1
"373","Skjellingahaugen","Sal_her",115
"374","Ulvehaugen","Sal_her",167
"375","Låvisdalen","Sal_her",427
"376","Gudmedalen","Sal_her",41
"377","Skjellingahaugen","Sal_sp",0
"378","Ulvehaugen","Sal_sp",0
"379","Låvisdalen","Sal_sp",7
"380","Gudmedalen","Sal_sp",0
"381","Skjellingahaugen","Sau_alp",10
"382","Ulvehaugen","Sau_alp",0
"383","Låvisdalen","Sau_alp",2
"384","Gudmedalen","Sau_alp",22
"385","Skjellingahaugen","Sel_sel",6
"386","Ulvehaugen","Sel_sel",1
"387","Låvisdalen","Sel_sel",1
"388","Gudmedalen","Sel_sel",1
"389","Skjellingahaugen","Sib_pro",123
"390","Ulvehaugen","Sib_pro",32
"391","Låvisdalen","Sib_pro",44
"392","Gudmedalen","Sib_pro",14
"393","Skjellingahaugen","Sil_aca",2
"394","Ulvehaugen","Sil_aca",0
"395","Låvisdalen","Sil_aca",6
"396","Gudmedalen","Sil_aca",81
"397","Skjellingahaugen","Sol_vir",0
"398","Ulvehaugen","Sol_vir",0
"399","Låvisdalen","Sol_vir",0
"400","Gudmedalen","Sol_vir",6
"401","Skjellingahaugen","Tar_sp",6
"402","Ulvehaugen","Tar_sp",53
"403","Låvisdalen","Tar_sp",41
"404","Gudmedalen","Tar_sp",6
"405","Skjellingahaugen","Tha_alp",94
"406","Ulvehaugen","Tha_alp",3
"407","Låvisdalen","Tha_alp",6
"408","Gudmedalen","Tha_alp",33
"409","Skjellingahaugen","Tof_pus",1
"410","Ulvehaugen","Tof_pus",0
"411","Låvisdalen","Tof_pus",0
"412","Gudmedalen","Tof_pus",1
"413","Skjellingahaugen","Tri_ces",0
"414","Ulvehaugen","Tri_ces",0
"415","Låvisdalen","Tri_ces",0
"416","Gudmedalen","Tri_ces",4
"417","Skjellingahaugen","Tri_eur",3
"418","Ulvehaugen","Tri_eur",3
"419","Låvisdalen","Tri_eur",0
"420","Gudmedalen","Tri_eur",16
"421","Skjellingahaugen","Vac_myr",36
"422","Ulvehaugen","Vac_myr",51
"423","Låvisdalen","Vac_myr",20
"424","Gudmedalen","Vac_myr",58
"425","Skjellingahaugen","Vac_uli",4
"426","Ulvehaugen","Vac_uli",7
"427","Låvisdalen","Vac_uli",0
"428","Gudmedalen","Vac_uli",46
"429","Skjellingahaugen","Vac_vit",0
"430","Ulvehaugen","Vac_vit",40
"431","Låvisdalen","Vac_vit",0
"432","Gudmedalen","Vac_vit",10
"433","Skjellingahaugen","Ver_alp",21
"434","Ulvehaugen","Ver_alp",10
"435","Låvisdalen","Ver_alp",6
"436","Gudmedalen","Ver_alp",7
"437","Skjellingahaugen","Vio_bif",6
"438","Ulvehaugen","Vio_bif",93
"439","Låvisdalen","Vio_bif",28
"440","Gudmedalen","Vio_bif",46
"441","Skjellingahaugen","Vio_pal",36
"442","Ulvehaugen","Vio_pal",32
"443","Låvisdalen","Vio_pal",0
"444","Gudmedalen","Vio_pal",21
"445","Skjellingahaugen","Vio_riv",0
"446","Ulvehaugen","Vio_riv",0
"447","Låvisdalen","Vio_riv",0
"448","Gudmedalen","Vio_riv",2
