Site	Species	Treat	Block	Plot	Year	Date	Registrator	IDS	MS	IDG	X	Y	SH	NL	NL_partitioned	LL	WL	NFL	NFL1	NFL2	NFL3	NFL4	NFL5	NB	NB1	NB2	NB3	NC	NC1	NC2	NAC	NFS	Length of aks	Length of aks (partitioned)	seedl	juvinale	comment
Gud	Car_pal	Novel	3	3	2018	03.09.2018	RG	3			17,5	7,0		5		173																					
Gud	Car_pal	Novel	3	3	2018	03.09.2018	RG	4			15,5	9,5		2		101																	17				
Gud	Car_pal	Novel	3	5	2018	03.09.2018	ELE	1			26,0	18,5		6		41																					
Gud	Car_pal	Novel	3	5	2018	03.09.2018	ELE	2			29,0	17,5		3		71																	20				
Gud	Car_pal	Novel	3	5	2018	03.09.2018	ELE	3			28,0	16,5		5		70																	25				
Gud	Car_pal	Novel	3	5	2018	03.09.2018	ELE	4			29,5	18,0		5		40																					
Låv	Hyp_mac	Novel	4	1	2018	14.09.2018	IA	1			27,5	18,0	202	74		20	15	3						5				5			2						
Låv	Hyp_mac	Novel	4	1	2018	14.09.2018	IA	2			26,5	7,5	225	172		16	10	1						1													
Låv	Suc_pra	Novel	4	4	2018	14.09.2018	IA	1			7,5	17,5		30	10+20	110	23	28	9	6	3			20	6	6	8										3 flowers and 3 buds
Låv	Suc_pra	Novel	4	4	2018	14.09.2018	IA	2			6,5	8,5		7		65	14																				
Låv	Suc_pra	Novel	4	4	2018	14.09.2018	IA	3			8,0	9,0		10		125	23																				grazed flower/muchy leaves
Låv	Suc_pra	Novel	4	4	2018	14.09.2018	IA	4			6,5	7,5		12		106	23																				
Låv	Hyp_mac	Novel	4	4	2018	14.09.2018	IA	1			16,0	18,5	247	70		20	11	4						1				1									
Låv	Hyp_mac	Novel	4	4	2018	14.09.2018	IA	2			18,0	6,5	266	163		20	11	4						2				13									
Gud	Car_pal	Novel	3	5	2018	03.09.2018	ELE	5			28,0	8,0		3		93																	24				
Gud	Car_pal	Novel	6	3	2018	04.09.2018	ELE	1			16,0	18,0		4		121																	41				
Gud	Car_pal	Novel	6	3	2018	04.09.2018	ELE	2			17,0	17,5		5		191																					
Gud	Car_pal	Novel	6	3	2018	04.09.2018	ELE	3			17,0	17,0		6		200																					
Gud	Car_pal	Novel	6	3	2018	04.09.2018	ELE	4			17,0	8,5		8		124																	9				
Gud	Car_pal	Novel	6	3	2018	04.09.2018	ELE	5			17,0	7,5		4		12																					
Gud	Car_pal	Novel	6	3	2018	04.09.2018	ELE	6			17,5	6,5		5		101																	26				
Gud	Car_pal	Novel	6	3	2018	04.09.2018	ELE	7			19,0	7,5		5		175																					
Gud	Car_pal	Novel	6	3	2018	04.09.2018	ELE	8			17,0	7,0		4		112																					
Gud	Car_pal	Novel	6	4	2018	04.09.2018	SO	1		1	25,5	18,0		4		180																					
Gud	Car_pal	Novel	6	4	2018	04.09.2018	SO	2		1	26,5	17,5		5		189																1	19				
Gud	Car_pal	Novel	6	4	2018	04.09.2018	SO	3		2	25,0	8,0		4		145																					
Gud	Car_pal	Novel	6	4	2018	04.09.2018	SO	4		2	26,5	7,5		3		104																1	10				
Gud	Car_pal	Novel	7	1	2018	03.09.2018	RG	1			6,0	18,0		4		80																	14				
Gud	Car_pal	Novel	7	1	2018	03.09.2018	RG	2			7,0	16,0		6		82																					
Låv	Suc_pra	Novel	6	3	2018	14.09.2018	IA	1			8,0	17,0		20	14+6	111	24	10																			
Låv	Suc_pra	Novel	6	3	2018	14.09.2018	IA	2			6,5	8,5		22	10+12	136	38	27	15	12																	
Låv	Hyp_mac	Novel	6	3	2018	14.09.2018	IA	1			17,0	18,0	235			22	11	2						2													
Låv	Hyp_mac	Novel	6	3	2018	14.09.2018	IA	2			17,0	8,0	250	65		16	9	4						2				6									
Gud	Car_pal	Novel	7	1	2018	03.09.2018	RG	3			7,0	8,5		3		92																	16				
Gud	Car_pal	Novel	7	6	2018	03.09.2018	ELE	1			29,0	16,5		8		81																	21				
Gud	Car_pal	Novel	7	6	2018	03.09.2018	ELE	2			27,5	15,5		7		58																					
Gud	Car_pal	Novel	7	6	2018	03.09.2018	ELE	3			29,0	8,0		9		80																	21				
Gud	Car_pal	Novel	7	6	2018	03.09.2018	ELE	4			25,5	7,0		5		62																					grazed
Gud	Car_pal	Novel	7	6	2018	03.09.2018	ELE	5			25,5	6,5		6		67																					
Ulv	Car_pal	Novel	1	5	2018	13.09.2018	IA	1			5,0	17,5		19		228																					6
Ulv	Car_pal	Novel	1	5	2018	13.09.2018	IA	2			7,5	17,0		10		209																					3+2
Ulv	Car_pal	Novel	1	5	2018	13.09.2018	IA	3			5,0	7,5		6		274																					2
Ulv	Car_pal	Novel	1	5	2018	13.09.2018	IA	4			6,5	6,0		2		55																	28				1+2 new shriveled leaves
Ulv	Car_pal	Novel	1	5	2018	13.09.2018	IA	5			7,5	5,5		2		162																	21				1
Låv	Suc_pra	Novel	7	3	2018	14.09.2018	IA	1			8,0	18,0		27	15+12	100	22	26	10	16																	
Låv	Suc_pra	Novel	7	3	2018	14.09.2018	IA	2			8,5	8,0		23	17+6	96	24	14																			
Låv	Hyp_mac	Novel	7	3	2018	14.09.2018	IA	1			18,0	16,5	196	93		14	11	5										6									
Låv	Hyp_mac	Novel	7	3	2018	14.09.2018	IA	2			17,5	8,0	201	65		19	10	1						1													
Ulv	Car_pal	Novel	2	1	2018	13.09.2018		1			6,0	17,5		5		291																					
Ulv	Car_pal	Novel	2	1	2018	13.09.2018		2			6,5	15,5		3		210																					
Ulv	Car_pal	Novel	2	1	2018	13.09.2018		3			7,5	17,0		1		141																	31				
Ulv	Car_pal	Novel	2	1	2018	13.09.2018		4			9,0	16,0		2		129																					use to have
Ulv	Car_pal	Novel	2	1	2018	13.09.2018		5			9,0	17,5				10																					new shoot
Ulv	Car_pal	Novel	2	1	2018	13.09.2018		6			6,0	7,0		3		280																					
Ulv	Car_pal	Novel	2	1	2018	13.09.2018		7			7,0	5,5				32																					new shoot
Ulv	Car_pal	Novel	2	1	2018	13.09.2018		8			7,5	6,0		3		150																					
