Site	Species	Treat	Block	Plot	Year	Date	Registrator	IDS	MS	IDG	X	Y	SH	NL	NL_partitioned	LL	WL	NFL	NFL1	NFL2	NFL3	NFL4	NFL5	NB	NB1	NB2	NB3	NC	NC1	NC2	NAC	NFS	Length of aks	Length of aks (partitioned)	seedl	juvinale	comment
Ulv	Car_pil	Extant	6	1	2018	13.09.2018	SO	2			26,5	6,0		10		74																	14				
Ulv	Car_pil	Extant	6	5	2018	13.09.2018	SO	1			17,0	16,5		18		87																					beitet på
Ulv	Car_pil	Extant	6	5	2018	13.09.2018	SO	2			18,5	15,5		10		79																					beitet på
Ulv	Car_pil	Extant	6	5	2018	13.09.2018	SO	3			18,0	7,5		19		60																1	17				
Ulv	Car_pil	Extant	6	5	2018	13.09.2018	SO	4			17,5	6,0		29		92																2	35	20+15			
Ulv	Car_pil	Extant	7	2	2018	12.09.2018	RG	1			8,0	17,5		94		140																4	54	21+10+7+16			
Ulv	Car_pil	Extant	7	2	2018	12.09.2018	RG	2			7,5	9,0		8		66																					
Ulv	Car_pil	Extant	7	2	2018	12.09.2018	RG	3			6,5	7,5		9		83																1	24				
Skj	Vio_can	Extant	2	1	2018	01.09.2018	ELE	1			27,5	18,0	21	7		22	16																				
Skj	Vio_can	Extant	2	1	2018	01.09.2018	ELE	2			27,5	7,5	21	4		19	15																				
Skj	Ver_off	Extant	2	1	2018	01.09.2018	ELE	1			7,0	17,0	48	17		10																					
Skj	Ver_off	Extant	2	1	2018	01.09.2018	ELE	2			8,0	18,0	40	16		10																					
Skj	Ver_off	Extant	2	1	2018	01.09.2018	ELE	3			7,0	8,0	17	15		9																					
Skj	Ver_off	Extant	2	1	2018	01.09.2018	ELE	4			9,0	8,0	14	10		5																					
Skj	Car_pil	Extant	2	1	2018	01.09.2018	ELE	1			18,0	17,0		6		127																					uten blomsterskudd
Skj	Car_pil	Extant	2	1	2018	01.09.2018	ELE	2			19,5	17,5		4		104																1	23				
Skj	Car_pil	Extant	2	1	2018	01.09.2018	ELE	3			17,0	7,5		7		66																1	20				uten blomsterskudd
Skj	Car_pil	Extant	2	1	2018	01.09.2018	ELE	4			17,5	7,0		5		79																					
Skj	Ver_off	Extant	2	6	2018	01.09.2018	RG	1			8,0	17,5	60	17		25	15											46	27	19		2					
Skj	Ver_off	Extant	2	6	2018	01.09.2018	RG	2		1	5,0	10,0	5	3		9	6																				
Skj	Ver_off	Extant	2	6	2018	01.09.2018	RG	3	2	1	6,0	9,5	44	15		20	10																				
Skj	Ver_off	Extant	2	6	2018	01.09.2018	RG	4	2	1	7,0	9,0	9	4		6	4																				
Skj	Ver_off	Extant	2	6	2018	01.09.2018	RG	5		2	5,5	7,5	35	13		29	11																				
Skj	Ver_off	Extant	2	6	2018	01.09.2018	RG	6	5	2	7,5	7,5	20	9		19	6																				
Skj	Ver_off	Extant	2	6	2018	01.09.2018	RG	7	5	2	6,5	6,5	8	6		12	6																				
Skj	Vio_can	Extant	2	6	2018	01.09.2018	RG	1			17,5	26,0	21	5		14	10																				
Skj	Vio_can	Extant	2	6	2018	01.09.2018	RG	2			8,0	27,0	32	4		19	19																				
Skj	Car_pil	Extant	2	6	2018	01.09.2018	RG	1			17,5	19,0		11		86																1	26				
Skj	Car_pil	Extant	2	6	2018	01.09.2018	RG	2			18,0	18,0		7		87																0					
Skj	Car_pil	Extant	2	6	2018	01.09.2018	RG	3			18,0	17,5		7		94																0					
Skj	Car_pil	Extant	2	6	2018	01.09.2018	RG	4			17,0	8,0		12		119																1	25				
Skj	Car_pil	Extant	2	6	2018	01.09.2018	RG	5			18,5	7,0		13		90																0					
Skj	Car_pil	Extant	2	6	2018	01.09.2018	RG	6			17,0	7,0		8		69																1					topp av skudd mangler
Skj	Car_pil	Extant	2	6	2018	01.09.2018	RG	7			16,0	7,0		7		76																0					
Skj	Car_pil	Extant	2	6	2018	01.09.2018	RG	8			15,5	6,5		7		45																0					
Skj	Ver_off	Extant	3	3	2018	01.09.2018	RG	1			6,0	17,0	100	30		26	17											24									curled
